"7144,Crime and Punishment,Fyodor Dostoyevsky,""Dostoyevsky, Fyodor"",David McDuff,""=""""0143058142"""""",""=""""9780143058144"""""",0,4.19,Penguin,Paperback,671,2002,1866,,2017/11/07,to-read,to-read (#334),to-read,,,,0,,,0,,,,,";
"30553,The Road to Wigan Pier,George Orwell,""Orwell, George"",Richard Hoggart,""=""""0141185295"""""",""=""""9780141185293"""""",0,3.88,Penguin Classics,Paperback,215,2001,1937,,2017/11/07,to-read,to-read (#333),to-read,,,,0,,,0,,,,,";
"647492,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,""Browning, Christopher R."",,""=""""0060995068"""""",""=""""9780060995065"""""",0,4.05,Harper Perennial,Paperback,271,1993,1992,,2017/11/06,to-read,to-read (#332),to-read,,,,0,,,0,,,,,";
"23754,The Sandman book 1 Preludes & Nocturnes,Neil Gaiman,""Gaiman, Neil"",""Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger"",""=""""1563892278"""""",""=""""9781563892271"""""",5,4.29,Vertigo,Hardcover,240,1998,1989,2017/11/03,2017/04/26,,,read,,,,1,,,0,,,,,";
"963994,Man of Nazareth,Anthony Burgess,""Burgess, Anthony"",,""=""""0070089620"""""",""=""""9780070089624"""""",0,3.74,McGraw-Hill Companies,Hardcover,357,1979,1979,,2017/10/27,to-read,to-read (#331),to-read,,,,0,,,0,,,,,";
"7805,Pale Fire,Vladimir Nabokov,""Nabokov, Vladimir"",,""=""""0141185260"""""",""=""""9780141185262"""""",0,4.19,Penguin Books Ltd,Paperback,246,2000,1962,,2017/10/27,to-read,to-read (#330),to-read,,,,0,,,0,,,,,";
"23261448,The Science of Interstellar,Kip S. Thorne,""Thorne, Kip S."",Christopher J. Nolan,""=""""0393351378"""""",""=""""9780393351378"""""",0,4.19,W. W. Norton & Company,Paperback,336,2014,2014,,2017/10/27,to-read,to-read (#329),to-read,,,,0,,,0,,,,,";
"184350,My Life,Leon Trotsky,""Trotsky, Leon"",J. Hansen,""=""""0873481445"""""",""=""""9780873481441"""""",0,4.20,Pathfinder Press (NY),Paperback,604,1970,1929,,2017/10/26,to-read,to-read (#328),to-read,,,,0,,,0,,,,,";
"953773,The Revolution Betrayed,Leon Trotsky,""Trotsky, Leon"",Max Eastman,""=""""0486433986"""""",""=""""9780486433981"""""",0,4.05,Dover Publications,Paperback,240,2004,1937,,2017/10/26,to-read,to-read (#327),to-read,,,,0,,,0,,,,,";
"184356,History of the Russian Revolution,Leon Trotsky,""Trotsky, Leon"",""Max Eastman, Ahmed Shawki"",""=""""1931859450"""""",""=""""9781931859455"""""",0,4.19,Haymarket Books,Paperback,1040,2008,1918,,2017/10/26,to-read,to-read (#326),to-read,,,,0,,,0,,,,,";
"587926,1985,Anthony Burgess,""Burgess, Anthony"",,""=""""0091360803"""""",""=""""9780091360801"""""",0,3.49,Hutchinson & Co (Publishers) Ltd,Hardcover,240,1978,1978,,2017/10/26,to-read,to-read (#325),to-read,,,,0,,,0,,,,,";
"227463,A Clockwork Orange,Anthony Burgess,""Burgess, Anthony"",,""=""""0393312836"""""",""=""""9780393312836"""""",4,3.98,W. W. Norton  Company,Paperback,212,1995,1962,2017/10/26,2013/10/13,,,read,,,,1,,,0,,,,,";
"75831,The Fatal Conceit: The Errors of Socialism,Friedrich A. Hayek,""Hayek, Friedrich A."",W.W. Bartley III,""=""""0226320669"""""",""=""""9780226320663"""""",0,4.24,University Of Chicago Press,Paperback,194,1991,1988,,2017/10/24,to-read,to-read (#324),to-read,,,,0,,,0,,,,,";
"3519502,The Increased Difficulty Of Concentration,Václav Havel,""Havel, Václav"",,""=""""0224618601"""""",""=""""9780224618601"""""",0,3.82,,,,,1968,,2017/10/24,to-read,to-read (#323),to-read,,,,0,,,0,,,,,";
"87282,Closely Watched Trains,Bohumil Hrabal,""Hrabal, Bohumil"",""Edith Pargeter, Josef Škvorecký"",""=""""0810112787"""""",""=""""9780810112780"""""",0,3.85,Northwestern University Press,Paperback,85,1995,1965,,2017/10/23,to-read,to-read (#322),to-read,,,,0,,,0,,,,,";
"397503,I Served the King of England,Bohumil Hrabal,""Hrabal, Bohumil"",Paul Wilson,""=""""081121687X"""""",""=""""9780811216876"""""",0,4.10,New Directions,Paperback,256,2007,1971,,2017/10/23,to-read,to-read (#321),to-read,,,,0,,,0,,,,,";
"87280,Too Loud a Solitude,Bohumil Hrabal,""Hrabal, Bohumil"",Michael Henry Heim,""=""""0349102627"""""",""=""""9780349102627"""""",0,4.15,Abacus,Paperback,98,2007,1976,,2017/10/23,to-read,to-read (#320),to-read,,,,0,,,0,,,,,";
"168742,""Open Letters: Selected Writings, 1965-1990"",Václav Havel,""Havel, Václav"",Paul Wilson,""=""""0679738118"""""",""=""""9780679738114"""""",0,4.24,Vintage,Paperback,432,1992,1991,,2017/10/23,to-read,to-read (#319),to-read,,,,0,,,0,,,,,";
"168734,The Garden Party and Other Plays,Václav Havel,""Havel, Václav"",""Vera Blackwell, George Theiner, Jan Novák"",""=""""080213307X"""""",""=""""9780802133076"""""",0,3.88,Grove Press,Paperback,273,1994,1994,,2017/10/23,to-read,to-read (#318),to-read,,,,0,,,0,,,,,";
"1686102,Audience,Václav Havel,""Havel, Václav"",,""="""""""""",""="""""""""",0,3.85,Samuel French,Paperback,34,1991,1978,,2017/10/23,to-read,to-read (#317),to-read,,,,0,,,0,,,,,";
"384786,The Power of the Powerless,Václav Havel,""Havel, Václav"",John Keane,""=""""0873327616"""""",""=""""9780873327619"""""",0,4.26,Routledge,Paperback,228,1985,1979,,2017/10/23,to-read,to-read (#316),to-read,,,,0,,,0,,,,,";
"5752,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,""Pinker, Steven"",,""=""""0142003344"""""",""=""""9780142003343"""""",0,4.07,Penguin Books,Paperback,528,2003,2002,,2017/10/22,to-read,to-read (#315),to-read,,,,0,,,0,,,,,";
"23291283,Polaroidy z zagłady,Paweł Paliński,""Paliński, Paweł"",,""="""""""""",""="""""""""",0,3.37,Powergraph ,Hardcover,272,2014,2014,,2017/10/21,to-read,to-read (#314),to-read,,,,0,,,0,,,,,";
"23209924,The Water Knife,Paolo Bacigalupi,""Bacigalupi, Paolo"",,""=""""0385352875"""""",""=""""9780385352871"""""",0,3.83,Knopf,Hardcover,371,2015,2015,,2017/10/21,to-read,to-read (#313),to-read,,,,0,,,0,,,,,";
"530965,The Day of the Triffids,John Wyndham,""Wyndham, John"",,""=""""0812967127"""""",""=""""9780812967128"""""",0,4.00,Modern Library,Paperback,228,2003,1951,,2017/10/21,to-read,to-read (#312),to-read,,,,0,,,0,,,,,";
"29145641,Transmisja,Marcin Strzyżewski,""Strzyżewski, Marcin"",,""="""""""""",""=""""9788379763825"""""",0,4.00,Czwarta Strona,ebook,,2016,,,2017/10/21,to-read,to-read (#311),to-read,,,,0,,,0,,,,,";
"331256,Roadside Picnic,Arkady Strugatsky,""Strugatsky, Arkady"",""Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon"",""=""""0575070536"""""",""=""""9780575070530"""""",0,4.21,Gollancz,Paperback,145,2000,1972,,2017/10/21,to-read,to-read (#310),to-read,,,,0,,,0,,,,,";
"323172,Mockingbird,Walter Tevis,""Tevis, Walter"",,""=""""0345431626"""""",""=""""9780345431622"""""",0,4.13,Del Rey,Paperback,288,1999,1980,,2017/10/21,to-read,to-read (#309),to-read,,,,0,,,0,,,,,";
